drug_name,atc_code,brand_name,pbs_code
abacavir,J05AF06,Ziagen,10294T
abacavir + lamivudine,J05AR02,Abacavir/Lamivudine Viatris,10357D
abatacept,L04AA24,Orencia ClickJect,11684Y
abemaciclib,L01EF03,Verzenio,11868P
abiraterone,L02BX03,Zytiga,11206T
abiraterone (&) methylprednisolone,H02AB04,Yonsa Mpred,13263C
abiraterone (&) prednisolone,L02BX53,ANDRIGA-10,15209L
acalabrutinib,L01EL02,CALQUENCE,13318Y
acamprosate,N07BB03,Campral,8357W
acarbose,A10BF01,GLYBOSAY,13869Y
acetazolamide,S01EC01,Diamox,1004W
acetic acid + oxyquinoline + ricinoleic acid,G02C,Aci-Jel,4434J
aciclovir,S01AD03,XOROX,1002R
acitretin,D05BB02,Neotigason,2019G
aclidinium,R03BB05,Bretaris Genuair,10124W
aclidinium + formoterol,R03AL05,Brimica Genuair,10565C
adalimumab,L04AB04,Hadlima,10399H
adapalene + benzoyl peroxide,D10AD53,Epiduo,13363H
adrenaline (epinephrine),C01CA24,Link Medical Products Pty Ltd,1016L
afatinib,L01EB03,Giotrif,11335N
aflibercept,S01LA05,Eylea,10505X
albendazole,P02CA03,Eskazole,8459F
alectinib,L01ED03,Alecensa,11226W
alemtuzumab,L04AG06,Lemtrada,10228H
alendronate,M05BA04,APO-Alendronate,13499L
alendronate + colecalciferol,M05BB03,Fosamax Plus 70 mg/140 mcg,13835E
alfuzosin,G04CA01,Xatral SR,14183L
allopurinol,M04AA01,Zyloprim,13358C
alogliptin,A10BH04,Nesina,13897K
alogliptin + metformin,A10BD13,Nesina Met 12.5/850,10032B
alprazolam,N05BA12,Alprax 1,11186R
alprostadil,G04BE01,Caverject Impulse,4579B
amantadine,N04BB01,AMANTAMED,14486K
ambrisentan,C02KX02,Cipla Ambrisentan,12180C
amifampridine,N07XX05,Ruzurgi,13032X
amiloride + hydrochlorothiazide,C03EA01,Moduretic,13410T
"amino acid formula supplemented with prebiotics, probiotics and long chain polyunsaturated fatty acids",V06DX,Neocate Syneo,11331J
amino acid formula with carbohydrate without phenylalanine,V06DX,PKU Easy Tablet,12072J
"amino acid formula with carbohydrate, vitamins, minerals and trace elements without phenylalanine",V06DX,PKU Go,10806R
"amino acid formula with fat, carbohydrate without methionine",V06DX,HCU Easy Tablet,12006X
"amino acid formula with fat, carbohydrate without phenylalanine",V06DX,PKU Easy Microtabs,10683G
"amino acid formula with fat, carbohydrate without phenylalanine and tyrosine",V06DX,TYR Easy Tablet,12015J
"amino acid formula with fat, carbohydrate without valine, leucine and isoleucine",V06DX,MSUD Easy Tablet,12014H
"amino acid formula with fat, carbohydrate, vitamins and minerals without phenylalanine",V06DX,PKU Easy Microtabs Plus,14782B
"amino acid formula with fat, carbohydrate, vitamins, minerals and trace elements without phenylalanine",V06DX,PKU Easy Shake & Go,10632N
"amino acid formula with fat, carbohydrate, vitamins, minerals and trace elements, without phenylalanine and tyrosine",V06DX,TYR Easy Shake & Go,10934L
"amino acid formula with fat, carbohydrate, vitamins, minerals, trace elements and medium chain triglycerides",V06DE,Alfamino Junior,10522T
amino acid formula with vitamins and minerals without lysine and low in tryptophan,V06DX,"XLYS, LOW TRY Maxamum",10466W
amino acid formula with vitamins and minerals without methionine,V06DX,HCU Anamix Junior,10693T
"amino acid formula with vitamins and minerals without methionine, threonine and valine and low in isoleucine",V06DX,MMA/PA Anamix Junior,10730R
amino acid formula with vitamins and minerals without phenylalanine,V06DX,PKU Anamix Junior,10258X
amino acid formula with vitamins and minerals without phenylalanine and tyrosine,V06DX,TYR Anamix Junior,10260B
"amino acid formula with vitamins and minerals without phenylalanine, tyrosine and supplemented with arachidonic acid and docosahexaenoic acid",V06DX,TYR explore5,14126L
"amino acid formula with vitamins and minerals without valine, leucine and isoleucine",V06DX,MSUD Anamix Junior,10259Y
"amino acid formula with vitamins and minerals without valine, leucine, isoleucine and supplemented with arachidonic acid and docosahexaenoic acid",V06DX,MSUD explore5,14118C
"amino acid formula with vitamins and minerals, low phenylalanine and supplemented with docosahexaenoic acid and arachidonic acid",V06DX,PKU Anamix First Spoon,11185Q
"amino acid formula with vitamins and minerals, without methionine and supplemented with arachidonic acid and docosahexaenoic acid",V06DX,HCU explore5,14114W
"amino acid formula with vitamins, minerals and long chain polyunsaturated fatty acids without phenylalanine",V06DX,PKU Start,14239K
amino acid formula without phenylalanine,V06DX,Phlexy-10,8678R
"amino acid formula without valine, leucine and isoleucine",V06DX,MSUD amino5,10161T
amino acid synthetic formula,V06DB,Neocate Junior Vanilla,1180D
amino acid synthetic formula supplemented with long chain polyunsaturated fatty acids,V06DB,Neocate LCP,2246F
amino acid synthetic formula supplemented with long chain polyunsaturated fatty acids and medium chain triglycerides,V06DB,Alfamino,13615N
amiodarone,C01BD01,Amdarone,2343H
amisulpride,N05AL05,Amisulpride Sandoz Pharma,8594H
amitriptyline,N06AA09,ENTRIP,2417F
amivantamab,L01FX18,Rybrevant,14800Y
amlodipine,C08CA01,Norvasc,13532F
amlodipine + atorvastatin,C10BX03,Cadivast 10/20,13384K
amlodipine + valsartan,C09DB01,Amlodipine/Valsartan Novartis 10/320,13389Q
amlodipine + valsartan + hydrochlorothiazide,C09DX01,Amlodipine/Valsartan/HCT Novartis 10/160/25,13390R
amorolfine,D01AE16,Loceryl,4010C
amoxicillin,J01CA04,AMILOXYN,11947T
amoxicillin + clavulanic acid,J01CR02,APO-Amoxycillin and Clavulanic Acid,11933C
amphotericin b,A01AB04,Fungilin,2931G
anakinra,L04AC03,Kineret,10263E
anastrozole,L02BG03,APO-Anastrozole,13858J
anifrolumab,L04AG11,Saphnelo,14189T
apalutamide,L02BB05,Erlyand,12992T
apixaban,B01AF02,Eliquis,13464P
apomorphine,N04BC07,Movapo PFS,10950H
apremilast,L04AA32,Otezla,12218C
aprepitant,A04AD12,Aprepitant APOTEX,2518M
arachidonic acid and docosahexaenoic acid with carbohydrate,V06DX,keyomega,10036F
arginine with carbohydrate,V06DX,Arginine 5000,10093F
aripiprazole,N05AX12,Abilify Maintena,10219W
armodafinil,N06BA13,Nuvigil,10912H
arsenic,L01XX27,Arsenic Trioxide Juno,10691Q
artemether + lumefantrine,P01BF01,Riamet,9498X
asciminib,L01EA06,Scemblix,13248G
asenapine,N05AH05,Saphris,5140M
aspirin,B01AC06,Spren 100,10590J
aspirin + codeine,N02AJ07,Aspalgin 40,4286N
atazanavir,J05AE08,Reyataz,10321F
atazanavir + cobicistat,J05AE,Evotaz,10692R
atenolol,C07AB03,Atenolol GH,1081X
atezolizumab,L01FF05,Tecentriq,11277M
atomoxetine,N06BA09,APO-Atomoxetine,9092M
atorvastatin,C10AA05,Lipitor,13374X
atovaquone,P01AX06,Wellvone,8300W
atovaquone + proguanil,P01BB51,AtovaquoPro Lupin 250/100,9439T
atropine sulfate,A03BA01,Atropine Injection (Bridgewest),1089H
auranofin,M01CB03,Ridaura,1095P
avacopan,L04AJ05,Tavneos,14605Q
avanafil,G04BE10,Spedra,11837B
avatrombopag,B02BX08,Doptelet,13313Q
avelumab,L01FF04,Bavencio,11671G
axitinib,L01EK01,Inlyta,10539Q
azacitidine,L01BC07,Azacitidine Accord,12771E
azathioprine,L04AX01,APO-Azathioprine,2687K
azithromycin,J01FA10,Zithromax,4115N
baclofen,M03BX01,Sintetica Baclofen Intrathecal,11126N
balsalazide,A07EC04,Colazide,11351K
bandage absorbent wool,V07AY,Surepress 650948,4653X
bandage calico,V07AY,Handy 36361414,4717G
bandage compression,V07AY,Rosidal TCS 26484,11714M
bandage retention cohesive heavy,V07AY,Coban 1584,4660G
bandage retention cohesive light,V07AY,Handygauze Cohesive 8635,4662J
bandage retention cotton crepe,V07AY,Tensocrepe 36300501,4727T
bandage tubular,V07AY,Elastoplast 2225,4663K
bandage tubular finger,V07AY,Tubegauz 0501633,4798M
bandage tubular light weight,V07AY,Tubifast 2434,4671W
bandage tubular long stocking,V07AY,Tubigrip 1482,4674B
bandage tubular short stocking,V07AY,Tubigrip 1479,4661H
bandage zinc paste,V07AY,Steripaste 3610,4669R
baricitinib,L04AF02,Olumiant,11437Y
beclometasone,R03BA01,Qvar 50 Autohaler,14378R
beclometasone + formoterol,R03AK08,Fostair,12183F
beclometasone + formoterol + glycopyrronium,R03AL09,Trimbow,12468F
belzutifan,L01XX74,Welireg,14665W
bemotrizinol + diethylamino hydroxybenzoyl hexyl benzoate + homosalate + octocrylene + titanium dioxide,D02BA,Sunsense Comfort SPF 50+,13188D
bendamustine,L01AA09,Bendamustine Sandoz,10760H
benralizumab,R03DX10,Fasenra Pen,11994G
benzathine benzylpenicillin,J01CE08,Bicillin L-A,11723B
benzatropine,N04AC01,Benzatropine Injection,11249C
benzydamine,A01AD02,Difflam,1121B
benzylpenicillin,J01CE01,BenPen,1775K
betaine,A16AA06,Cystadane,10119N
betaine + polyaminopropyl biguanide,V07AY,Prontosan Wound Irrigation Solution,2525X
betamethasone acetate + betamethasone sodium phosphate,H02AB01,Celestone Chronodose,2694T
betamethasone dipropionate,D07AC01,Diprosone,10795E
betamethasone valerate,D07AC01,Betnovate 1/2,10794D
bevacizumab,L01FG01,Mvasi,12479T
bicalutamide,L02BB03,Cosudex,8094B
bicarbonate,G04BX,Sodibic,13933H
bicarbonate + citric acid + tartaric acid,G04BX,Trust Cystitis Relief,12179B
bictegravir + emtricitabine + tenofovir alafenamide,J05AR20,Biktarvy,11649D
bimatoprost,S01EE03,Lumigan PF,10046R
bimatoprost + timolol,S01EE,GANfort PF 0.3/5,10107Y
bimekizumab,L04AC21,Bimzelx,13644D
binimetinib,L01EE03,Mektovi,11948W
bisacodyl,A06AB02,Dulcolax,10578R
bisoprolol,C07AB07,Bisoprolol generichealth,13419G
bivalirudin,B01AE06,BIVALIRUDIN ARX,8844L
bleomycin,L01DC01,DBL Bleomycin Sulfate,4433H
blinatumomab,L01FX07,Blincyto,11115B
bortezomib,L01XG01,DBL Bortezomib,12219D
bosentan,C02KX01,Bosentan RBX,12134P
botulinum toxin type a,M03AX01,Botox,10993N
brentuximab vedotin,L01FX05,Adcetris,10166C
brexpiprazole,N05AX16,Rexulti,11184P
brigatinib,L01ED04,Alunbrig,11974F
brimonidine,S01EA05,Alphagan P 1.5,14496Y
brimonidine + timolol,S01EA,Combigan,14491Q
brinzolamide,S01EC04,Azopt,14321R
brinzolamide + brimonidine,S01EC54,Simbrinza 1%/0.2%,10536M
brinzolamide + timolol,S01EC54,Azarga,14495X
brivaracetam,N03AX23,Briviact,11327E
brolucizumab,S01LA06,Beovu,12667Q
bromazepam,N05BA08,Lexotan,4150K
bromocriptine,G02CB01,Parlodel,13979R
budesonide,A07EA06,Budenofalk,10034D
budesonide + formoterol,R03AK07,Symbicort Rapihaler 100/3,10015D
budesonide + glycopyrronium + formoterol,R03AL11,Breztri Aerosphere,12672Y
buprenorphine,N02AE01,Norspan,10746N
buprenorphine + naloxone,N07BC51,Suboxone Film 8/2,13321D
bupropion,N07BA,Zyban,8465M
burosumab,M05BX05,Crysvita,13136J
busulfan,L01AB01,Myleran,1128J
cabazitaxel,L01CD04,Cabazitaxel Juno,4376H
cabergoline,G02CB03,Dostinex,13901P
cabotegravir,J05AJ04,Vocabria,12939B
cabotegravir (&) rilpivirine,J05A,Cabenuva,12937X
cabozantinib,L01EX07,Cabometyx,11360X
cadexomer-iodine,V07AY,Iodosorb Powder 66051070,4931M
calcipotriol + betamethasone dipropionate,D05AX52,Enstilar,11091R
calcitonin salmon,H05BA01,Miacalcic 100,2997R
calcitriol,A11CC04,Rocaltrol,13457G
calcium,A12AA04,Cal-500,11726E
candesartan,C09CA06,Atacand,13436E
candesartan + hydrochlorothiazide,C09DA06,Atacand Plus 16/12.5,13391T
cannabidiol,N03AX24,Epidyolex,12467E
capecitabine,L01BC06,Capecitabine Sandoz,8362D
capivasertib,L01EX27,Truqap,15049C
captopril,C09AA01,Capoten,8760C
carbamazepine,N03AF01,Tegretol Liquid,14051M
carbamide peroxide,S02DC,Ear Clear for Ear Wax Removal,4176T
carbimazole,H03BB01,Neo-Mercazole,1153Q
"carbohydrate, fat, vitamins, minerals and trace elements",V06DX,Energivit,8369L
"carbohydrates, fat, vitamins, minerals, trace elements and supplemented with arachidonic acid and docosahexaenoic acid",V06DX,basecal 200,10039J
carbomer-980,S01XA20,Viscotears,14385D
carboplatin,L01XA02,Carboplatin Accord,4309T
carfilzomib,L01XG02,Kyprolis,11229B
cariprazine,N05AX15,Reagila,12619E
carmellose sodium,S01XA20,Evolve Carmellose,11852T
carmustine,L01AD01,Gliadel,8898H
carvedilol,C07AG02,Dilatrend 25,13387N
cefaclor,J01DC04,Ceclor CD,1169M
cefalexin,J01DB01,Keflex,10778G
cefazolin,J01DB04,Cephazolin Viatris,12115P
ceftriaxone,J01DD04,Ceftriaxone Viatris,11169W
cefuroxime,J01DC02,Zinnat,11227X
celecoxib,M01AH01,Celebrex,8439E
cemiplimab,L01FF06,Libtayo,13135H
ceritinib,L01ED02,Zykadia,11056X
certolizumab pegol,L04AB05,Cimzia,10137M
cetirizine,R06AE07,Alzene,4175R
cetrorelix,H01CC02,Cetrotide,9599F
cetuximab,L01FE01,Erbitux,10262D
chlorambucil,L01AA02,Leukeran,1163F
chloramphenicol,S01AA01,Chlorsig,11112W
chlorhexidine,A01AB03,Plaqacide,4161B
chlormethine,L01AA05,Ledaga,14658L
chlorpromazine,N05AA01,Largactil,1195X
chlortalidone,C03BA04,Hygroton 25,13500M
choriogonadotropin alfa,G03GA08,Ovidrel,13300B
ciclesonide,R03BA08,Alvesco 80,14312G
ciclosporin,S01XA18,Ikervis,12663L
cinacalcet,H05BX01,Pharmacor Cinacalcet,11885M
ciprofloxacin,J01MA02,C-Flox 250,1208N
cisplatin,L01XA01,Cisplatin Accord,4319H
citalopram,N06AB04,Celapram,14313H
citric acid + lauryl sulfoacetate sodium + sorbitol,A06AG20,Micolette,14534Y
citrulline,V06DX,Citrulline Easy,10736C
citrulline with carbohydrate,V06DX,Citrulline 1000,5481L
cladribine,L04AA40,Mavenclad,11603Q
clarithromycin,J01FA09,Klacid,8318T
clindamycin,J01FF01,APO-Clindamycin,3138E
clobetasol,D07AD01,Clobex,10080M
clomifene,G03GB02,Clomid,1211R
clomipramine,N06AA04,APO-Clomipramine,1561E
clonazepam,N03AE01,Rivotril,11520H
clonidine,C02AC01,Catapres,13548C
clopidogrel,B01AC04,Clovix 75,13365K
clopidogrel + aspirin,B01AC30,DuoPlidogrel,13427Q
clostridium botulinum type a toxin-haemagglutinin complex,M03AX01,Dysport,10981Y
clotrimazole,D01AC01,Pharmacy Action Anti-Fungal Cream,4004R
clozapine,N05AH02,Clopine 200,10288L
coal tar solution + phenol + precipitated sulfur,D05AA,Egopsoryl-TA,4505D
coal tar solution + salicylic acid,D11AC30,Ionil-T,4560B
cobimetinib,L01EE02,Cotellic,11074W
codeine,N02AA,Aspen Pharmacare Australia Pty Ltd,12054K
colchicine,M04AC01,Colcine,3410L
colestyramine,C10AC01,Questran Lite,14477Y
corifollitropin alfa,G03GA09,Elonva,5816D
cortisone,H02AB10,Cortate,1246N
crizotinib,L01ED01,Xalkori,10322G
cyclophosphamide,L01AA01,Cyclonex,1266P
cyproterone,G03HA01,Cyproterone Sandoz,1269T
cytarabine,L01BC01,Pfizer Australia Pty Ltd,4357H
dabigatran,B01AE07,Pradaxa,13489Y
dabrafenib,L01EC02,Tafinlar,10003L
dantrolene,M03CA01,Dantrium,1779P
dapagliflozin,A10BK01,Forxiga,10011X
dapagliflozin + metformin,A10BD15,Xigduo XR 5/1000,10510E
dapagliflozin + sitagliptin,A10BD29,Sidapvia 10/100,14638K
dapsone,D11AX,DAPSOMED,1272Y
daratumumab,L01FC01,Darzalex,12220E
darbepoetin alfa,B03XA02,Aranesp,5637Q
darolutamide,L02BB06,Nubeqa,12684N
darunavir,J05AE10,Prezista,10329P
darunavir + cobicistat,J05AR14,Prezcobix,10903W
darunavir + cobicistat + emtricitabine + tenofovir alafenamide,J05AR22,Symtuza,11955F
dasatinib,L01EA02,DASATINIB-TEVA,12842X
daunorubicin + cytarabine,L01XY01,Vyxeos,14661P
decitabine + cedazuridine,L01BC58,Inqovi 35/100,13081L
deferasirox,V03AC03,Deferasirox Juno,11231D
deferiprone,V03AC02,Ferriprox,11724C
degarelix,L02BX02,Firmagon 80mg,2784M
denosumab,M05BX04,Wyost,10061M
desferrioxamine,V03AC01,DBL Desferrioxamine Mesilate,5661Y
desmopressin,H01BA02,Minirin,13889B
desvenlafaxine,N06AX23,Desfax,10231L
deucravacitinib,L04AF07,Sotyktu,13649J
dexamethasone,S01BA01,Ozurdex,10943Y
dexamfetamine,N06BA02,Aspen Pharmacare Australia Pty Ltd,1165H
dextran-70 + hypromellose,S01XA20,Poly-Tears,14521G
diazepam,N05BA01,Diazepam Elixir,2669L
diclofenac,M01AB05,Fenac EC,1299J
dicloxacillin,J01CF01,Distaph 500,10790X
dienogest,G03DB08,Visanne,14667Y
difelikefalin,V03AX04,Korsuva,14106K
digoxin,C01AA05,Lanoxin,1322N
diltiazem,C08DB01,Cardizem CD,1312C
dimethyl fumarate,L04AX07,Tecfidera,2896K
diphenoxylate + atropine sulfate,A07DA01,Lofenoxal,2501P
diphtheria + tetanus vaccine,J07AM51,ADT Booster,3463G
diroximel fumarate,L04AX09,Vumerity,13059H
disopyramide,C01BA03,Rythmodan (UK),13280Y
docetaxel,L01CD02,Docetaxel Accord,10148D
docusate,S02DC,Waxsol,4199B
docusate + sennoside b,A06AB56,Co-Senna,10177P
dolutegravir,J05AJ03,Tivicay,10283F
dolutegravir + abacavir + lamivudine,J05AR13,Triumeq,10345L
dolutegravir + lamivudine,J05AR25,Dovato,11843H
dolutegravir + rilpivirine,J05AR21,Juluca,11540J
domperidone,A03FA03,APO-DOMPERIDONE,1347X
donepezil,N06DA02,Aricept,2479L
dornase alfa,R05CB13,Pulmozyme,5704F
dorzolamide,S01EC03,Trusopt,14524K
dorzolamide + timolol,S01EC,Cosdor,14386E
dostarlimab,L01FF07,Jemperli,14109N
dosulepin (dothiepin),N06AA16,Dosulepin Viatris,1357K
doxorubicin,L01DB01,Adriamycin,4361M
doxorubicin hydrochloride (as pegylated liposomal),L01DB01,Caelyx,4364Q
doxycycline,J01AA02,Doxylin 100,10176N
dressing activated charcoal malodorous wound,V07AY,Actisorb Plus MAP105,4681J
dressing alginate cavity wound,V07AY,Kaltostat 168117,1905G
dressing alginate superficial wound,V07AY,Kaltostat 168212,4683L
dressing alginate with manuka honey,V07AY,Algivon Plus CR4225,10849B
dressing alginate with silver cavity wound,V07AY,Melgisorb Ag 256605,12765W
dressing alginate with silver deep wound,V07AY,Melgisorb Ag 256055,12772F
dressing contact layer lipidocolloid,V07AY,UrgoTul Contact 100351,13022J
dressing contact layer lipidocolloid with sucrose octasulfate,V07AY,UrgoStart Contact-Interface-Tul 100380,13002H
dressing film,V07AY,Nexcare Tegaderm Transparent H1624,4686P
dressing film island,V07AY,Tegaderm Transparent Island 3582,4689T
dressing foam heavy exudate,V07AY,Mepilex XT 211100,12760N
dressing foam lipidocolloid with silicone heavy exudate,V07AY,UrgoTul Absorb Silicone Border 102203,13007N
dressing foam lipidocolloid with sucrose octasulfate heavy exudate,V07AY,UrgoStart Border 100481,13017D
dressing foam lipidocolloid with sucrose octasulfate moderate exudate,V07AY,UrgoStart Pad 100377,13003J
dressing foam moderate exudate,V07AY,Allevyn Adhesive 66000044,4590N
dressing foam with silicone,V07AY,Allevyn Life 66801067,10017F
dressing foam with silicone and silver,V07AY,Mepilex Ag,2439J
dressing foam with silicone heavy exudate,V07AY,Mepilex Border Flex 595211,12184G
dressing foam with silicone light exudate,V07AY,Mepilex Border Lite 281100,12774H
dressing foam with silicone moderate exudate,V07AY,Mepilex Border Flex Lite 581011,12777L
