drug,year,month,pbac_date,filename
20-valent-pneumococcal-conjugate-vaccine,2023,11,2023-11-01,20-valent-pneumococcal-conjugate-vaccine-psd-nov-2023.pdf
20v-pcv,2022,11,2022-11-01,20v-pcv-psd-11-2022.pdf
abaloparatide,2025,7,2025-07-01,abaloparatide-psd-july-2025.pdf
aciclovir,2015,7,2015-07-01,aciclovir-psd-july-2015%20.pdf
aciclovir,2021,3,2021-03-01,aciclovir-psd-mar-2021.pdf
aclidinium,2014,3,2014-03-01,aclidinium-psd-03-2014.pdf
aclidinium-with-eformoterol,2015,7,2015-07-01,aclidinium-with-eformoterol-psd-july-2015.pdf
adjuvanted-trivalent-and-quadrivalent-influenza-vaccine,2019,7,2019-07-01,adjuvanted-trivalent-and-quadrivalent-influenza-vaccine-psd-7-2019-addendum-08-2019.pdf
adrenaline-emerade,2018,3,2018-03-01,adrenaline-emerade-psd-march-2018.pdf
adrenaline,2016,7,2016-07-01,adrenaline-psd-july-2016.pdf
adrenaline,2024,7,2024-07-01,adrenaline-psd-july-2024.pdf
adrenaline,2016,3,2016-03-01,adrenaline-psd-march-2016.pdf
adrenaline,2018,3,2018-03-01,adrenaline-psd-march-2018.pdf
adrenaline,2020,11,2020-11-01,adrenaline-psd-nov-2020.pdf
age-restrictions-asthma-fdc-products,2019,12,2019-12-01,age-restrictions-asthma-fdc-products-psd-december-2019.pdf
alendronate-fosamax-merck-sharp-dohme,2011,7,2011-07-01,alendronate-fosamax-merck-sharp-dohme-psd-7-2-2011-07-final.pdf
alendronate,2016,7,2016-07-01,alendronate-psd-july-2016.pdf
alogliptin-metformin,2013,,2013-07-01,alogliptin-metformin-psd-2013.pdf
alogliptin,2013,7,2013-07-01,alogliptin-psd-07-2013.pdf
amifampridine,2022,3,2022-03-01,amifampridine-psd-march-2022.pdf
amifampridine,2021,11,2021-11-01,amifampridine-psd-november-2021.pdf
amino-acid-amino5,2014,7,2014-07-01,amino-acid-amino5-psd-07-2014.pdf
amino-acid-fomula-coolers,2018,3,2018-03-01,amino-acid-fomula-coolers-psd-march-2018.pdf
amino-acid-formula-1,2015,3,2015-03-01,amino-acid-formula-1-psd-march-2015.pdf
amino-acid-formula-2,2015,3,2015-03-01,amino-acid-formula-2-psd-march-2015.pdf
amino-acid-formula-essential-care-jr,2024,11,2024-11-01,amino-acid-formula-essential-care-jr-psd-nov-2024.pdf
amino-acid-formula-ga-explore5,2024,11,2024-11-01,amino-acid-formula-ga-explore5-psd-nov-2024.pdf
amino-acid-formula-ga1-anamix-junior,2015,11,2015-11-01,amino-acid-formula-ga1-anamix-junior-psd-november-2015.pdf
amino-acid-formula-hcu-anamix-junior,2015,11,2015-11-01,amino-acid-formula-hcu-anamix-junior-psd-november-2015.pdf
amino-acid-formula-hcu-explore5,2023,3,2023-03-01,amino-acid-formula-hcu-explore5-psd-03-2023.pdf
amino-acid-formula-hcu-express-15,2021,7,2021-07-01,amino-acid-formula-hcu-express-15-psd-july-2021.pdf
amino-acid-formula-mma-pa-anamix-junior,2015,11,2015-11-01,amino-acid-formula-mma-pa-anamix-junior-psd-november-2015.pdf
amino-acid-formula-mma-pa-explore5,2024,11,2024-11-01,amino-acid-formula-mma-pa-explore5-psd-nov-2024.pdf
amino-acid-formula-msud-easy-tablet,2019,11,2019-11-01,amino-acid-formula-msud-easy-tablet-psd-november-2019.pdf
amino-acid-formula-msud-explore,2019,11,2019-11-01,amino-acid-formula-msud-explore-psd-november-2019.pdf
amino-acid-formula-msud-explore5,2023,3,2023-03-01,amino-acid-formula-msud-explore5-psd-03-2023.pdf
amino-acid-formula-msud-express-15,2021,7,2021-07-01,amino-acid-formula-msud-express-15-psd-july-2021.pdf
amino-acid-formula-neocate-junior,2017,3,2017-03-01,amino-acid-formula-neocate-junior-psd-march-2017.pdf
amino-acid-formula-neocate-syneo,2017,7,2017-07-01,amino-acid-formula-neocate-syneo-psd-july-2017.pdf
amino-acid-formula-neocate-syneo,2024,3,2024-03-01,amino-acid-formula-neocate-syneo-psd-march-2024.pdf
amino-acid-formula-pcu-express-20,2021,7,2021-07-01,amino-acid-formula-pcu-express-20-psd-july-2021.pdf
amino-acid-formula-pku-anamix-first-spoon,2017,3,2017-03-01,amino-acid-formula-pku-anamix-first-spoon-psd-march-2017.pdf
amino-acid-formula-pku-easy-microtabs-plus,2024,11,2024-11-01,amino-acid-formula-pku-easy-microtabs-plus-psd-nov-2024.pdf
amino-acid-formula-pku-easy-tablet,2019,11,2019-11-01,amino-acid-formula-pku-easy-tablet-psd-november-2019.pdf
amino-acid-formula-pku-explore,2019,7,2019-07-01,amino-acid-formula-pku-explore-psd-july-2019.pdf
amino-acid-formula-pku-express-15,2021,7,2021-07-01,amino-acid-formula-pku-express-15-psd-july-2021.pdf
amino-acid-formula-pku-lophex,2017,7,2017-07-01,amino-acid-formula-pku-lophex-psd-july-2017.pdf
amino-acid-formula-pku-lophlex-select,2024,3,2024-03-01,amino-acid-formula-pku-lophlex-select-psd-march-2024.pdf
amino-acid-formula-pku-squeezie,2022,11,2022-11-01,amino-acid-formula-pku-squeezie-psd-11-2022.pdf
amino-acid-formula-pku-start,2024,3,2024-03-01,amino-acid-formula-pku-start-psd-march-2024.pdf
amino-acid-formula-pku-start,2017,11,2017-11-01,amino-acid-formula-pku-start-psd-november-2017.pdf
amino-acid-formula-pku-synergy,2017,7,2017-07-01,amino-acid-formula-pku-synergy-psd-july-2017.pdf
amino-acid-formula-pkuair,2014,11,2014-11-01,amino-acid-formula-pkuair-psd-11-2014.pdf
amino-acid-formula,2021,3,2021-03-01,amino-acid-formula-psd-mar-2021.pdf
amino-acid-formula,2015,3,2015-03-01,amino-acid-formula-psd-march-2015.pdf
amino-acid-formula,2020,11,2020-11-01,amino-acid-formula-psd-nov-2020.pdf
amino-acid-formula-tyr-easy,2019,11,2019-11-01,amino-acid-formula-tyr-easy-psd-november-2019.pdf
amino-acid-formula-tyr-easy-shake-go,2016,7,2016-07-01,amino-acid-formula-tyr-easy-shake-go-psd-july-2016.pdf
amino-acid-formula-tyr-explore5,2023,3,2023-03-01,amino-acid-formula-tyr-explore5-psd-03-2023.pdf
amino-acid-formula-tyr-express-15,2021,7,2021-07-01,amino-acid-formula-tyr-express-15-psd-july-2021.pdf
amino-acid-formula-tyr-express-20,2017,3,2017-03-01,amino-acid-formula-tyr-express-20-psd-march-2017.pdf
amino-acid-formula-with-carbohydrate-pku-synergy,2020,7,2020-07-01,amino-acid-formula-with-carbohydrate-PKU-synergy-psd-july-2020.pdf
amino-acid-formula-with-vitamins-anamix-infant-products,2020,7,2020-07-01,amino-acid-formula-with-vitamins-Anamix-Infant-products-psd-july-2020.pdf
amino-acid-formula-with-vitamins-and-minerals-pku-easy-liquid,2015,11,2015-11-01,amino-acid-formula-with-vitamins-and-minerals-pku-easy-liquid-psd-november-2015.pdf
amino-acid-formula-with-vitamins-and-minerals-pku-easy-shake-go,2015,11,2015-11-01,amino-acid-formula-with-vitamins-and-minerals-pku-easy-shake-go-psd-november-2015.pdf
amino-acid-formula-with-vitamins-and-minerals-pku-go,2015,11,2015-11-01,amino-acid-formula-with-vitamins-and-minerals-pku-go-psd-november-2015.pdf
amino-acid-formula-with-vitamins-and-minerals,2020,3,2020-03-01,amino-acid-formula-with-vitamins-and-minerals-psd-march-2020.pdf
amino-acid-formula-with-vitamins-and-minerals-without-phenylalanine-pku-baby,2015,11,2015-11-01,amino-acid-formula-with-vitamins-and-minerals-without-phenylalanine-pku-baby-psd-november-2015.pdf
amino-acid-formula-without-methionine-hcu-lophlex,2020,7,2020-07-01,amino-acid-formula-without-methionine-HCU-Lophlex-psd-july-2020.pdf
amino-acid-formula-without-phe-pku-air,2017,3,2017-03-01,amino-acid-formula-without-phe-pku-air-psd-march-2017.pdf
amino-acid-formula-without-phe-pku-cooler,2017,3,2017-03-01,amino-acid-formula-without-phe-pku-cooler-psd-march-2017.pdf
amino-acid-formula-without-phenylalanine-and-tyrosine-tyr-lophlex,2020,7,2020-07-01,amino-acid-formula-without-phenylalanine-and-tyrosine-TYR-Lophlex-psd-july-2020.pdf
amino-acid-formula-without-phenylalanine-pku-easy-microtabs,2015,11,2015-11-01,amino-acid-formula-without-phenylalanine-pku-easy-microtabs-psd-november-2015.pdf
amino-acid-formula-without-valine-msud-lophlex,2020,7,2020-07-01,amino-acid-formula-without-valine-MSUD-Lophlex-psd-july-2020.pdf
amino-acid-lophlex,2014,7,2014-07-01,amino-acid-lophlex-psd-07-2014.pdf
amino-acid-synthetic-formula-alfamino,2022,11,2022-11-01,amino-acid-synthetic-formula-alfamino-psd-11-2022.pdf
amino-acid-synthetic-formula-elecare-lcp,2023,3,2023-03-01,amino-acid-synthetic-formula-elecare-lcp-psd-03-2023.pdf
amino-acid-synthetic-formula,2015,3,2015-03-01,amino-acid-synthetic-formula-psd-march-2015.pdf
amino-acid-synthetic-formula,2020,3,2020-03-01,amino-acid-synthetic-formula-psd-march-2020.pdf
amino-acid-synthetic-formula-with-fatty-acids-and-triglycerides-alfamino-alfamino-junior,2015,11,2015-11-01,amino-acid-synthetic-formula-with-fatty-acids-and-triglycerides-alfamino-alfamino-junior-psd-november-2015.pdf
amino-acids-synthetic-formula,2018,11,2018-11-01,amino-acids-synthetic-formula-psd-november-2018.pdf
anti-glaucoma-medicines,2015,3,2015-03-01,anti-glaucoma-medicines-psd-march-2015.pdf
antibiotics-repeats,2019,8,2019-08-01,antibiotics-repeats-psd-08-2019.pdf
antipsychotics,2013,8,2013-08-01,antipsychotics-psd-08-2013.pdf
antiretroviral-therapy,2013,11,2013-11-01,antiretroviral-therapy-psd-11-2013.pdf
apalutamide-%28m0crpc%29,2021,11,2021-11-01,apalutamide-%28m0CRPC%29-psd-nov-2021.pdf
apalutamide-mhspc,2021,11,2021-11-01,apalutamide-mHSPC-psd-nov-2021.pdf
apomorphine-hydrochloride,2016,11,2016-11-01,apomorphine-hydrochloride-psd-november-2016.pdf
apomorphine,2014,11,2014-11-01,apomorphine-psd-11-2014.pdf
apomorphine,2016,7,2016-07-01,apomorphine-psd-july-2016.pdf
apomorphine,2018,7,2018-07-01,apomorphine-psd-july-2018.pdf
apomorphine,2025,7,2025-07-01,apomorphine-psd-july-2025.pdf
apomorphine,2018,3,2018-03-01,apomorphine-psd-march-2018.pdf
apomorphine,2020,3,2020-03-01,apomorphine-psd-march-2020.pdf
apomorphine,2020,11,2020-11-01,apomorphine-psd-nov-2020.pdf
aprepitant,2019,7,2019-07-01,aprepitant-psd-july-2019.pdf
aprepitant,2016,3,2016-03-01,aprepitant-psd-march-2016.pdf
aprepitant,2015,11,2015-11-01,aprepitant-psd-november-2015.pdf
arginine,2017,11,2017-11-01,arginine-psd-november-2017.pdf
armodafinil-and-modafinil,2020,7,2020-07-01,armodafinil-and-modafinil-psd-july-2020.pdf
armodafinil,2016,3,2016-03-01,armodafinil-psd-march-2016.pdf
armodafinil,2015,11,2015-11-01,armodafinil-psd-november-2015.pdf
asfotase-alfa-rch,2017,7,2017-07-01,asfotase-alfa-rch-psd-july-2017.pdf
asfotase-alfa-rch,2018,3,2018-03-01,asfotase-alfa-rch-psd-march-2018.pdf
asunaprevir,2015,3,2015-03-01,asunaprevir-psd-march-2015.pdf
atazanavir%2bcobicistat,2015,11,2015-11-01,atazanavir%2Bcobicistat-psd-november-2015.pdf
atogepant,2023,7,2023-07-01,atogepant-psd-july-2023.pdf
auranofin,2016,7,2016-07-01,auranofin-psd-july-2016.pdf
auranofin,2017,7,2017-07-01,auranofin-psd-july-2017.pdf
baclofen,2017,7,2017-07-01,baclofen-psd-july-2017.pdf
balsalazide,2017,7,2017-07-01,balsalazide-psd-july-2017.pdf
beclometasone-and-formoterol,2022,3,2022-03-01,beclometasone-and-formoterol-psd-march-2022.pdf
beclometasone-formoterol-glycopyrronium,2022,3,2022-03-01,beclometasone-formoterol-glycopyrronium-psd-march-2022.pdf
beclometasone-formoterol-glycopyrronium,2020,11,2020-11-01,beclometasone-formoterol-glycopyrronium-psd-nov-2020.pdf
beclometasone-formoterol,2020,7,2020-07-01,beclometasone-formoterol-psd-july-2020.pdf
beclometasone-with-formoterol,2022,7,2022-07-01,beclometasone-with-formoterol-psd-july-2022.pdf
beclometasone-with-formoterol,2024,3,2024-03-01,beclometasone-with-formoterol-psd-march-2024.pdf
belantamab-mafodotin,2025,11,2025-11-01,belantamab-mafodotin-psd-november-2025.pdf
belzutifan,2024,7,2024-07-01,belzutifan-psd-july-2024-with-corrigendum.pdf
benzathine-benzylpenicillin,2019,3,2019-03-01,benzathine-benzylpenicillin-psd-march-2019.pdf
benztropine-mesylate,2015,11,2015-11-01,benztropine-mesylate-psd-november-2015.pdf
betaine,2014,3,2014-03-01,betaine-psd-03-2014.pdf
bimatoprost,2020,7,2020-07-01,bimatoprost-psd-july-2020.pdf
biosimilar-medicines-considering-brand-equivalence-substitution,2018,3,2018-03-01,biosimilar-medicines-considering-brand-equivalence-substitution-psd-march-2018.pdf
botulinum-toxin-a-purified,2019,3,2019-03-01,botulinum-toxin-a-purified-psd-march-2019.pdf
brentuximab-asct-naive,2016,11,2016-11-01,brentuximab-asct-naive-psd-november-2016.pdf
brentuximab-post-asct,2016,11,2016-11-01,brentuximab-post-asct-psd-november-2016.pdf
brexpiprazole,2025,7,2025-07-01,brexpiprazole-psd-july-2025.pdf
brexpiprazole,2017,3,2017-03-01,brexpiprazole-psd-march-2017.pdf
brinzolomide-with-brimonidine,2015,7,2015-07-01,brinzolomide-with-brimonidine-psd-july-2015.pdf
brivaracetam,2016,7,2016-07-01,brivaracetam-psd-july-2016.pdf
brivaracetam,2017,3,2017-03-01,brivaracetam-psd-march-2017.pdf
brivaracetam,2017,11,2017-11-01,brivaracetam-psd-november-2017.pdf
brivaracetam,2019,11,2019-11-01,brivaracetam-psd-november-2019.pdf
broad-non-small-cell-lung-cancer-listings,2019,8,2019-08-01,broad-non-small-cell-lung-cancer-listings-psd-08-2019.pdf
budes-glyco-form,2021,7,2021-07-01,budes-glyco-form-psd-july-2021.pdf
budesonide-and-formoterol,2019,7,2019-07-01,budesonide-and-formoterol-psd-july-2019.pdf
budesonide-and-formoterol,2019,11,2019-11-01,budesonide-and-formoterol-psd-november-2019.pdf
budesonide-budenofalk,2019,3,2019-03-01,budesonide-Budenofalk-psd-march-2019.pdf
budesonide-eformoterol,2013,7,2013-07-01,budesonide-eformoterol-psd-07-2013.pdf
budesonide-eformoterol,2017,7,2017-07-01,budesonide-eformoterol-psd-july-2017.pdf
budesonide-entocort,2019,3,2019-03-01,budesonide-Entocort-psd-march-2019.pdf
budesonide-with-eformoterol,2017,11,2017-11-01,budesonide-with-eformoterol-psd-11-2017-with-addendum-08-2018.pdf
budesonide-with-eformoterol,2017,11,2017-11-01,budesonide-with-eformoterol-psd-november-2017.pdf
budesonide-with-glycopyrronium-and-formoterol,2022,11,2022-11-01,budesonide-with-glycopyrronium-and-formoterol-psd-11-2022-oos-06-2023.pdf
buprenorphine-4-08-oxycodone-with-naloxone,2015,7,2015-07-01,buprenorphine-4-08-oxycodone-with-naloxone-psd-july-2015.pdf
buprenorphine-additional-strengths,2015,11,2015-11-01,buprenorphine-additional-strengths-psd-november-2015.pdf
buprenorphine-buvidal,2019,3,2019-03-01,buprenorphine-Buvidal-psd-march-2019.pdf
buprenorphine-increased-maximum-quantities,2015,11,2015-11-01,buprenorphine-increased-maximum-quantities-psd-november-2015.pdf
buprenorphine-naloxone,2020,3,2020-03-01,buprenorphine-naloxone-psd-march-2020.pdf
buprenorphine-naloxone,2019,11,2019-11-01,buprenorphine-naloxone-psd-november-2019.pdf
buprenorphine,2016,7,2016-07-01,buprenorphine-psd-july-2016.pdf
buprenorphine,2015,3,2015-03-01,buprenorphine-psd-march-2015.pdf
buprenorphine,2021,11,2021-11-01,buprenorphine-psd-nov-2021.pdf
buprenorphine,2018,11,2018-11-01,buprenorphine-psd-november-2018.pdf
buprenorphine,2019,11,2019-11-01,buprenorphine-psd-november-2019.pdf
buprenorphine-sublocade,2019,3,2019-03-01,buprenorphine-Sublocade-psd-march-2019.pdf
buprenorphine-with-naloxone,2014,11,2014-11-01,buprenorphine-with-naloxone-psd-11-2014.pdf
burosumab,2021,3,2021-03-01,burosumab-psd-mar-2021.pdf
burosumab,2022,3,2022-03-01,burosumab-psd-march-2022.pdf
burosumab,2022,5,2022-05-01,burosumab-psd-may-2022.pdf
calcipotriol-betamethasone,2015,11,2015-11-01,calcipotriol-betamethasone-psd-november-2015.pdf
calcipotriol-with-betamethasone-dipropionate,2025,7,2025-07-01,calcipotriol-with-betamethasone-dipropionate-psd-july-2025.pdf
calcipotriol-with-betamethasone-dipropionate,2018,3,2018-03-01,calcipotriol-with-betamethasone-dipropionate-psd-march-2018.pdf
calcipotriol-with-betamethasone,2023,7,2023-07-01,calcipotriol-with-betamethasone-psd-july-2023.pdf
calcipotriol-with-betamethasone,2016,11,2016-11-01,calcipotriol-with-betamethasone-psd-november-2016.pdf
calcipotriol-with-betamethasone,2025,11,2025-11-01,calcipotriol-with-betamethasone-psd-november-2025.pdf
calcium,2019,3,2019-03-01,calcium-psd-march-2019.pdf
capivasertib,2024,11,2024-11-01,capivasertib PSD-november-2024-with-addendum-march-2025.pdf
carbohydrate-formula,2020,7,2020-07-01,carbohydrate-formula-psd-july-2020.pdf
carbohydrate-formula-sos-products,2016,11,2016-11-01,carbohydrate-formula-sos-products-psd-november-2016.pdf
carglumic-acid,2015,7,2015-07-01,carglumic-acid-psd-july-2015.pdf
cariprazine,2020,11,2020-11-01,cariprazine-psd-nov-2020.pdf
carmellose-hypromellose,2019,7,2019-07-01,carmellose%20hypromellose-psd-july-2019.pdf
carmellose-hypromellose,2018,7,2018-07-01,carmellose-hypromellose-psd-july-2018.pdf
carmellose-with-glycerol-and-hyaluronic-acid,2023,3,2023-03-01,carmellose-with-glycerol-and-hyaluronic-acid-psd-03-2023-05-2023.pdf
cationic-opthalmic-emulsion,2020,7,2020-07-01,cationic-opthalmic-emulsion-psd-july-2020.pdf
cer-pneumococcal,2019,7,2019-07-01,cer-pneumococcal-psd-july-2019.pdf
cerliponase-alfa,2018,7,2018-07-01,cerliponase-alfa-psd-july-2018.pdf
cetrorelix,2025,11,2025-11-01,cetrorelix-psd-november-2025.pdf
chlormethine-hydrochloride,2023,3,2023-03-01,chlormethine-hydrochloride-psd-03-2023.pdf
chlormethine-hydrochloride,2023,11,2023-11-01,chlormethine-hydrochloride-psd-nov-2023.pdf
chorionic-gonadotrophin,2017,3,2017-03-01,chorionic-gonadotrophin-psd-march-2017.pdf
cipaglucosidase-and-miglustat,2025,3,2025-03-01,cipaglucosidase-and-miglustat-psd-march-2025.pdf
citrulline,2015,11,2015-11-01,citrulline-psd-november-2015.pdf
clobetasol,2013,11,2013-11-01,clobetasol-psd-11-2013.pdf
clobetasol,2024,11,2024-11-01,clobetasol-psd-nov-2024.pdf
clostridium-botulinum,2020,7,2020-07-01,clostridium-botulinum-psd-july-2020.pdf
clostridium-botulinum-toxin-a,2019,3,2019-03-01,clostridium-botulinum-toxin-a-psd-march-2019.pdf
clostridium-botulinum-toxin,2019,7,2019-07-01,clostridium-botulinum-toxin-psd-july-2019.pdf
clozapine,2018,7,2018-07-01,clozapine-psd-july-2018.pdf
coal-tar-prepared,2014,11,2014-11-01,coal-tar-prepared-psd-11-2014.pdf
cobicistat,2013,3,2013-03-01,cobicistat-psd-03-2013.pdf
cobicistat-tybost,2013,3,2013-03-01,cobicistat-tybost-psd-03-2013.pdf
continued-dispensing,2021,11,2021-11-01,continued-dispensing-psd-nov-2021.pdf
corifollitropin,2013,3,2013-03-01,corifollitropin-psd-03-2013.pdf
dactylis-glomerata,2016,7,2016-07-01,dactylis-glomerata-psd-july-2016.pdf
dapsone,2025,3,2025-03-01,dapsone-psd-march-2025.pdf
darbepoetin,2019,3,2019-03-01,darbepoetin-psd-march-2019.pdf
darunavir-cobicistat-emtricitabine-tenofovir,2019,11,2019-11-01,darunavir-cobicistat-emtricitabine-tenofovir-psd-november-2019.pdf
darunavir-cobicistat,2016,3,2016-03-01,darunavir-cobicistat-psd-march-2016.pdf
darunavir-cobicistat,2015,11,2015-11-01,darunavir-cobicistat-psd-november-2015.pdf
daunorubicin-with-cytarabine,2023,7,2023-07-01,daunorubicin-with-cytarabine-psd-july-2023.pdf
